"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS15460",5787,7431,6115,1641,9410,1312,7821,20565,24679,2117,2111,1970,12491,13902,22328,2518,2491,1813,4012,7086,20691,3469,2658,5121
"gene-CDR20291_RS15465",295,324,253,847,28,23,250,362,630,193,27,8,175,78,88,28,18,23,142,120,135,46,89,27
"gene-CDR20291_RS15470",1099,1513,582,220,257,275,1634,1435,2543,213,251,143,2405,478,1188,307,272,116,200,1742,1463,317,462,237
"gene-CDR20291_RS15475",237,235,217,50,35,49,261,522,717,46,63,61,388,188,319,29,68,29,149,366,374,49,62,40
"gene-CDR20291_RS15480",356,393,229,52,59,51,354,650,948,36,32,48,566,280,421,51,62,29,265,362,502,57,61,45
"gene-CDR20291_RS01845",92260,121303,71135,13577,9620,11736,60215,33481,43354,9321,12335,11049,80294,34249,38707,11629,16943,7071,9608,119120,103164,16778,22343,10884
"gene-CDR20291_RS15485",197,284,163,120,84,175,265,340,748,56,134,99,282,144,253,183,237,60,53,362,268,140,213,65
"gene-CDR20291_RS15490",112,190,143,33,47,41,81,1651,2859,35,44,56,222,243,666,49,38,33,497,208,338,68,48,75
"gene-CDR20291_RS15495",53,68,31,10,18,13,49,426,436,9,16,6,80,42,81,7,14,7,175,115,87,22,15,16
"gene-CDR20291_RS15500",8,0,0,0,0,0,0,41,91,0,0,1,0,0,4,2,0,0,5,2,5,0,0,0
"gene-CDR20291_RS15505",3043,3754,2493,4179,1378,4058,20622,1535,3410,3259,4928,3978,7179,10066,13636,3746,4190,1708,583,1777,17972,4369,4925,2212
"gene-CDR20291_RS15510",4834,5932,4490,739,483,682,4171,2214,2935,636,595,799,4060,2691,3586,575,735,595,800,6024,3413,666,542,519
"gene-CDR20291_RS15515",1023,1515,1024,672,580,663,934,1739,1657,404,361,575,1214,2135,3907,587,736,474,833,1348,2334,614,424,826
