"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"PG_RS04165",555,630,912,905,1292,789,1141,1328,576,2604,570,2522,2423,898,4635,2695
"PG_RS04170",2115,2726,3172,3700,5386,2859,4218,6045,1706,8796,2311,7604,10477,2437,17608,9752
"PG_RS04175",184,218,410,346,533,266,608,536,205,836,228,906,858,295,1919,879
"PG_RS04180",385,363,662,944,868,855,958,776,404,2124,466,1632,1353,1138,2978,2396
"PG_RS04200",331,549,761,705,1104,407,973,1565,329,2191,564,2761,2168,567,6595,3105
"PG_RS04210",660,577,919,1297,1199,796,1077,1321,641,3276,699,3213,2797,1027,5286,2727
"PG_RS04215",989,973,1602,2321,1951,1815,2040,1741,1032,5171,1154,4509,3711,2364,6470,4421
"PG_RS04220",798,586,884,1521,1354,1105,1112,759,962,4207,1083,2374,2686,1418,5038,2504
"PG_RS04230",2098,1344,2153,4423,3436,3126,2943,2480,2591,11220,2814,7298,8753,5527,14059,7614
"PG_RS04235",466,402,685,886,930,816,1061,735,553,2461,628,1895,2206,1107,4824,2308
"PG_RS04245",206,130,177,237,372,144,267,328,164,671,216,411,554,205,1746,705
"PG_RS04250",19434,13407,21254,54351,33660,41192,38201,29835,20055,88848,24099,62612,64165,55257,126523,81905
"PG_RS04255",169,128,346,473,473,284,579,388,181,1063,245,1239,761,350,1723,1121
"PG_RS04265",301,187,258,582,509,399,457,346,323,1072,321,576,835,587,1703,811
"PG_RS04275",596,247,214,818,759,361,270,407,603,1582,544,443,1777,516,2800,678
"PG_RS04280",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PG_RS04285",277,291,667,984,616,1013,1302,695,328,2200,352,1784,1239,1744,2692,2965
"PG_RS04290",217,368,356,487,1060,1142,722,713,432,2564,341,1369,1882,2464,4503,2002
"PG_RS04295",455,212,231,826,825,401,345,449,478,1549,547,588,1707,637,3194,856
"PG_RS04300",108,55,77,217,164,76,88,112,104,424,146,190,412,119,781,197
"PG_RS04305",648,567,819,1345,1197,1015,1158,1105,809,3676,818,2704,3024,2471,5561,3144
"PG_RS04310",299,328,539,526,709,445,903,792,298,1645,387,1675,1496,596,3674,1687
"PG_RS04315",1643,1920,3185,4460,4005,3274,5653,4619,1777,10579,2300,9858,8822,3660,15842,11981
"PG_RS04325",98,113,288,248,323,205,455,385,162,849,168,1083,873,367,1903,1244
"PG_RS04330",761,580,1372,2155,1705,1514,2399,1665,1098,5049,1221,6226,5152,2727,9933,5168
"PG_RS04335",0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
"PG_RS04340",1943,968,1202,3985,3636,2396,1545,1962,2203,5934,2232,2397,6713,2984,10672,3352
"PG_RS04350",1737,1212,1603,2863,2293,1316,1684,1924,1085,5278,878,2708,3552,1697,10098,3777
"PG_RS04355",687,785,1542,1554,1677,472,1692,2172,596,3427,608,3279,3037,691,9203,3933
"PG_RS04360",6121,6359,10090,16166,12538,6288,9695,11898,4930,32127,5207,19368,24322,9139,48748,26270
"PG_RS04385",1114,917,1534,3015,2229,2877,2729,1702,1094,7326,1299,3834,4885,4503,9779,6306
"PG_RS04395",37,17,18,60,44,54,49,27,38,98,34,51,123,127,185,97
"PG_RS04400",88,63,85,129,156,110,113,109,108,308,128,173,371,174,662,286
"PG_RS04405",31,19,23,48,56,33,31,36,32,106,28,67,119,38,260,68
"PG_RS04410",39,32,31,76,94,40,47,73,42,172,57,88,226,54,501,135
"PG_RS04415",139,122,144,312,355,164,153,242,179,644,195,384,886,203,1554,513
"PG_RS04420",91,73,71,157,227,53,61,130,133,338,135,157,537,70,1126,194
"PG_RS04425",20,12,17,33,68,12,25,33,22,116,31,66,200,14,431,69
"PG_RS04430",521,210,172,774,753,408,255,372,740,1629,585,571,2184,626,2850,656
"PG_RS04435",1075,1648,2542,2522,2653,1977,3521,3560,1113,8048,1749,7755,5903,2675,13802,9760
"PG_RS04440",249,281,421,471,442,301,653,757,240,1274,337,1369,1159,474,3118,2119
"PG_RS04445",1703,1816,2486,3162,3202,2858,4582,4480,2128,10171,2324,9505,8857,4803,18884,14464
"PG_RS04450",33,74,104,81,137,40,174,221,35,287,65,340,241,48,741,566
"PG_RS04455",90,122,180,171,256,146,315,291,105,564,122,455,440,236,1326,805
"PG_RS04460",121,111,137,266,238,155,252,281,173,741,207,428,548,374,1219,755
"PG_RS04465",1107,826,1059,2276,1691,2846,2859,1526,1231,5491,1316,2683,4454,5575,7357,7750
"PG_RS04475",1978,2026,2119,3588,3968,2502,3367,3540,2398,11167,2758,6564,10492,3843,16485,9970
"PG_RS04480",519,324,299,682,821,279,296,571,1079,2614,956,1558,2992,797,5009,1547
"PG_RS04485",2240,1878,2539,3887,4916,4302,4422,4122,2956,14776,3209,8421,14405,9149,27098,15837
"PG_RS04490",6,2,22,17,9,5,61,11,4,35,11,103,19,23,69,47
"PG_RS04495",15741,14623,11571,22254,26272,11913,11846,25037,71,300,87,217,240,136,589,251
"PG_RS04500",2954,3056,4117,4192,5735,3405,4650,6175,55,252,70,198,256,240,707,393
"PG_RS04505",873,1089,1463,1479,1895,1192,1918,2056,44,233,56,227,169,113,459,240
"PG_RS04510",412,373,600,1045,682,746,890,692,446,2212,410,1560,1376,1121,2653,1893
"PG_RS04515",1043,1025,1191,2206,1790,1861,2272,1946,1059,5080,1013,3560,3846,2408,6212,4968
"PG_RS04520",433,304,222,655,721,385,290,507,378,1173,371,437,1343,501,1961,774
"PG_RS04525",111,55,59,223,153,106,108,100,131,403,142,169,462,249,751,264
"PG_RS04530",2876,3268,4507,7709,8294,7089,6974,6060,3276,18229,4880,10593,16572,7494,27551,13928
"PG_RS04535",325,142,145,470,599,194,197,234,336,848,330,390,1309,436,2283,482
"PG_RS04540",68,17,68,106,78,129,84,40,242,1159,274,660,1021,846,1847,728
"PG_RS04545",48,18,12,45,42,30,22,10,54,132,42,57,103,65,187,57
"PG_RS04550",433,433,856,1041,1181,679,1511,1036,411,2385,515,2415,1819,745,4322,2577
"PG_RS04555",1005,913,2086,3513,2366,2654,3340,1881,990,7103,1474,5696,4733,3347,8410,6529
"PG_RS04560",273,249,681,1081,829,827,1124,698,348,2227,431,2198,1382,974,3812,2082
"PG_RS04570",3778,2801,3822,6577,8810,4469,5930,6558,3519,17834,3638,11227,19118,7764,32729,16871
"PG_RS04575",409,318,564,846,626,487,746,578,529,2875,566,2222,2525,1635,4493,2504
"PG_RS04580",739,658,1159,1673,1389,1527,1869,1301,803,4022,851,3585,2748,2231,5652,3561
"PG_RS04585",53,66,106,123,147,124,191,168,59,356,59,286,338,158,778,442
"PG_RS04590",379,420,454,630,1028,746,841,864,394,1813,392,1227,1827,1035,3094,2226
"PG_RS04595",774,872,1049,1124,2047,1350,1801,1937,528,2347,573,2335,3781,1720,6901,4212
"PG_RS04605",3437,4976,9853,8295,9430,10863,15651,10257,1408,8866,1931,7034,8991,8489,16900,16738
"PG_RS04610",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PG_RS04615",909,560,1040,2315,1586,1745,1847,1071,1091,5390,1146,2841,3953,3394,7994,3477
"PG_RS04620",265,203,271,514,483,418,500,457,219,967,216,637,900,590,1804,1040
"PG_RS04625",140,120,223,364,366,265,449,277,150,745,153,508,681,468,1587,764
"PG_RS04630",294,168,309,579,720,468,539,483,384,1441,323,912,1616,1013,3130,1231
"PG_RS04635",550,228,337,1006,847,569,418,342,791,2091,693,862,2137,1110,3114,1048
"PG_RS04640",26,21,30,62,55,36,56,42,58,169,29,147,217,141,394,137
"PG_RS04645",15588,12887,9793,19270,12905,9015,8283,15704,11435,44301,8351,28138,26632,14283,42848,34568
"PG_RS04650",904,854,1860,2353,2186,1514,2570,1693,1070,5124,1259,5559,4068,2060,8182,4489
"PG_RS04655",890,688,947,1380,1231,902,1171,1002,827,3196,912,2969,3172,1143,4229,2574
"PG_RS04660",306,309,464,523,635,461,621,529,357,1446,444,1435,1324,533,2845,1496
"PG_RS04665",2551,1677,2528,4572,4938,3000,3547,3214,2352,8758,2564,6187,9192,3678,16463,7016
"PG_RS04670",396,277,528,767,732,664,857,555,452,1464,380,1895,1396,1069,2448,1568
"PG_RS04675",90,63,80,158,141,103,117,109,117,354,100,198,350,158,626,312
"PG_RS04680",139,93,190,368,279,220,322,228,205,921,216,654,726,395,1852,724
"PG_RS04685",168,110,251,384,331,268,577,309,215,1084,242,976,937,456,2160,1226
"PG_RS04690",2772,4383,6341,8380,10642,4520,11630,13954,3157,23492,5074,20790,19470,5931,47444,31835
"PG_RS04695",16175,17870,20257,47305,36253,37554,39221,40818,16547,95582,21803,59949,74251,46270,135642,102939
"PG_RS04700",1668,2904,5221,5714,7722,3822,9982,10896,1468,16438,2486,15631,12381,3797,29973,24103
"PG_RS04705",379,580,1037,1020,1687,595,1856,2418,350,3462,603,3588,2871,898,10275,4563
"PG_RS04715",647,669,1293,1635,1717,1013,1929,1869,665,4459,878,4450,3907,1614,7429,4791
"PG_RS04720",335,276,410,570,790,337,616,816,367,1685,400,1232,1498,468,3596,1410
"PG_RS04725",607,618,1049,1462,1944,925,1708,1749,701,4267,949,3308,4498,1396,10041,3824
"PG_RS04730",123,135,257,310,560,192,527,484,91,824,184,826,761,200,2830,871
"PG_RS04735",398,750,920,738,1845,543,1403,2350,275,2155,611,2531,2267,442,7534,3452
"PG_RS04740",4625,8633,10553,9686,17890,5435,13774,23945,3916,31136,7564,31987,31718,5674,72916,44442
"PG_RS04745",903,1534,2257,2051,3355,1772,3737,4265,780,6506,1390,6858,6129,1982,15755,9815
"PG_RS04750",216,308,478,499,653,357,705,782,237,1453,360,1468,1476,479,3591,1616
"PG_RS04755",563,973,1359,1380,1837,1077,1782,2413,528,4198,959,4145,3282,1010,7635,4817
"PG_RS04760",393,570,1025,1222,1108,843,1377,1277,508,3387,762,3963,2850,1191,5322,3129
"PG_RS04765",1491,2033,3006,3320,4292,2113,4701,6234,1214,8292,1761,9226,9282,2504,17556,10742
"PG_RS04775",166,71,107,257,229,118,176,121,205,497,179,370,601,222,1108,262
"PG_RS04780",2769,1891,2183,4916,4443,4221,3618,2980,2346,11630,2362,5034,8574,5151,18592,7127
"PG_RS04785",198,70,73,307,290,159,70,68,264,775,340,138,534,391,1729,231
"PG_RS04790",260,232,334,500,387,441,528,334,275,975,218,913,875,547,1523,946
"PG_RS04795",48,32,83,85,112,98,173,101,85,340,85,303,412,228,726,399
"PG_RS04800",1184,532,503,1681,2349,852,833,1194,1198,4431,1014,1052,7021,1829,10405,2290
"PG_RS04810",538,583,1019,1209,1048,850,1587,1082,551,2531,678,2604,1896,1097,3926,2676
"PG_RS04815",777,812,821,1314,1358,897,1264,1304,688,2855,713,1754,2267,990,4382,2571
"PG_RS04830",840,826,873,2089,1932,1813,1516,1450,1076,5239,1186,2788,4142,3141,6883,4679
"PG_RS04835",842,713,830,1472,1550,1081,1179,1342,1053,3989,1096,2508,3828,2135,6731,3388
"PG_RS04840",117,122,272,310,249,245,425,256,114,1005,146,1036,562,688,1564,1160
"PG_RS04845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS04850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS04860",658,630,782,1163,1161,886,1326,1313,566,2897,567,2049,2375,1280,4270,3144
"PG_RS04865",384,396,474,932,908,860,982,864,372,2028,444,1116,1607,1253,3198,2157
"PG_RS04870",2097,1975,3104,4631,4278,4315,6024,5037,1854,9135,1706,8475,9878,7145,18724,15080
"PG_RS04875",247,348,464,449,648,349,753,771,212,1254,295,1448,1200,422,2921,1822
"PG_RS04880",197,247,399,385,505,361,543,585,217,1170,297,1540,1241,562,2420,1647
"PG_RS04890",1720,1768,2720,3363,3343,2480,3395,3407,1669,8266,1875,6941,6774,3431,13538,8370
"PG_RS04895",679,269,345,1936,1938,807,587,590,1125,3298,1607,1028,4383,1720,7140,1692
"PG_RS04900",138,57,49,217,221,114,71,63,211,475,161,124,518,237,1183,205
"PG_RS04905",736,251,289,1253,1023,804,485,446,911,2870,793,705,3000,1548,5111,1151
"PG_RS04910",40,45,62,119,108,103,130,113,55,266,56,172,277,154,767,296
"PG_RS04915",98,84,122,208,216,186,231,200,101,587,95,446,581,363,956,649
"PG_RS04920",187,161,414,462,419,248,544,441,145,1072,197,805,764,403,2097,1136
"PG_RS04925",54,31,29,96,85,65,55,69,74,246,51,75,246,147,351,165
"PG_RS04930",85,80,144,177,210,125,175,229,92,419,110,259,441,194,1070,449
"PG_RS04935",1736,956,1990,3324,3173,2499,3129,1955,1864,8367,1944,4376,6197,3370,11679,5803
"PG_RS04950",512,596,913,1084,999,1205,1425,978,592,3161,643,3299,2438,1953,4656,4014
"PG_RS04960",2620,3108,3207,4541,4365,3350,4297,5092,2270,9330,2349,6987,7308,2826,8933,7682
"PG_RS04970",1833,1402,3017,5004,5195,3748,5939,5020,2364,12373,2585,10226,11403,6159,24272,14163
"PG_RS04980",306,295,285,513,1509,612,706,1143,388,1623,453,934,3452,1078,7390,2933
"PG_RS04985",36,35,95,88,107,71,142,103,43,248,57,316,274,168,811,421
"PG_RS04990",74,147,194,240,197,157,289,266,112,653,148,541,514,299,1307,713
"PG_RS04995",739,944,1062,1453,1631,1268,1603,1878,730,3066,867,2829,2862,1183,4854,3416
"PG_RS05000",1241,1527,1908,2190,2324,1657,2908,3021,1488,5394,1499,5852,6281,2203,10450,6542
"PG_RS05005",9970,17163,21392,18869,26532,17396,20588,27243,9457,41540,12594,39920,46028,14966,88758,57724
"PG_RS05010",1139,645,464,1925,2400,560,596,1434,1378,3525,1603,1339,5579,776,10967,1982
"PG_RS05020",4567,5064,9789,12531,10889,8625,17418,13927,4274,33546,6370,31395,25428,12657,55444,41035
"PG_RS05030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS05040",510,211,494,1620,846,773,837,540,664,3408,711,1558,2389,1690,4229,2010
"PG_RS05045",1013,535,1081,3280,1567,1575,1459,1045,1628,7316,1611,3593,5365,4106,7681,4302
"PG_RS05050",346,327,426,727,650,614,562,510,436,1899,459,1427,1696,1090,2907,1686
